1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,1
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,1
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,1
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,6,1
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2,1
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,7,7,7,7,1
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,8,8,8,1
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,1,1,1,1,1
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,7,7,7,7,1
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,9,9,9,9,1
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,10,10,1
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,11,11,11,11,1
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,1,1,1,1,1
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,6,6,6,6,1
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,1,1,1,1,1
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1,1,1,1,1
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,12,12,12,12,1
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,4,4,4,4,1
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,7,7,7,7,1
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,13,13,13,13,1
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1,1,1,1,1
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,1,1,1,1,1
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,14,14,14,14,1
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,15,15,15,15,1
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,16,16,16,16,1
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,16,16,16,16,1
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,16,16,16,16,1
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,16,16,16,16,1
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,16,16,16,16,1
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,17,17,17,17,1
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,18,18,18,13,1
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,19,19,19,18,1
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,11,11,11,11,1
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,20,20,20,19,1
26,26,26,39,26,39,39,39,39,39,39,39,39,39,39,20,20,20,19,1
39,39,39,40,39,40,40,40,40,40,40,40,40,40,40,21,21,21,20,1
40,40,40,41,40,41,41,41,41,41,41,41,41,41,41,21,21,21,20,1
41,41,41,42,41,42,42,42,42,42,42,42,42,42,42,22,22,22,21,1
42,42,42,43,42,43,43,43,43,43,43,43,43,43,43,23,23,23,22,1
43,43,43,17,43,44,44,44,44,44,44,44,44,44,44,23,23,23,22,1
44,44,44,44,44,45,45,45,45,45,45,45,45,45,45,24,24,24,23,1
45,45,45,45,45,46,46,46,46,46,46,46,46,46,46,24,24,24,23,1
46,46,46,46,46,47,47,47,47,47,47,47,47,47,47,3,3,3,3,1
47,47,47,47,47,48,48,48,48,48,48,48,48,48,48,6,6,6,6,1
48,48,48,48,48,49,49,49,49,49,49,49,49,49,49,6,6,6,6,1
49,49,49,49,49,50,50,50,50,50,50,50,50,50,50,25,25,25,24,1
